variable,source_variable,alternatives,condition,values,values_parsed,format,static_value,aggregate,conversion,threshold,limit
source_id,respnr,,,,,,,,,,
date,m_dat,_dat,,,,%Y-%m-%d,,,,,
birth_year,byear,,,,,,,,,,
date_age,,,,,,%Y-%m-%d,,,,,
age,,,,,,,,,,,
sex,sex,,,1.0;2.0,male;female;-,,,,,,
education_years,aedu,,,1;2;3;4;5;6;7;8;9,5;6;9;10;11;12;15;16;18,,Based on the education categories,,,,
education_category,aeducat,,,1;2;3;4;5;6;7;8;9,low;low;high;high;high;high;high;high;high,,,,,,
education_category_3,aeducat,,,1;2;3;4;5;6;7;8;9,low;low;low;medium;medium;medium;high;high;high,,,,,,
education_category_verhage,,,,,1;2;3;4;5;6;7,,,,,,
date_diagnosis,gdemy,,,,,%Y-%m-%d,,,,,
normal_cognition_diagnosis,,,,,yes;no,,,,,,
scd_diagnosis,,,,,yes;no,,,,,,
mci_diagnosis,,,,,yes;no,,,,,,
dementia_diagnosis,gdem,,,1.0;0.0,yes;no,,,,,,
no_normal_cognition_diagnosis,,,,,yes;no,,,,,,
no_scd_diagnosis,,,,,yes;no,,,,,,
no_mci_diagnosis,,,,,yes;no,,,,,,
no_dementia_diagnosis,gdem,,,1.0;0.0,yes;no,,,,,,
alzheimers_dementia,,,,,yes;no,,,,,,
lewy_body_dementia,,,,,yes;no,,,,,,
vascular_dementia,,,,,yes;no,,,,,,
frontotemporal_dementia,,,,,yes;no,,,,,,
parkinsons_dementia,,,,,yes;no,,,,,,
semantic_dementia,,,,,yes;no,,,,,,
corticobasal_syndrome,,,,,yes;no,,,,,,
psp,,,,,yes;no,,,,,,
pnfa,,,,,yes;no,,,,,,
cjd,,,,,yes;no,,,,,,
no_alzheimers_dementia,,,,,yes;no,,,,,,
no_lewy_body_dementia,,,,,yes;no,,,,,,
no_vascular_dementia,,,,,yes;no,,,,,,
no_frontotemporal_dementia,,,,,yes;no,,,,,,
no_parkinsons_dementia,,,,,yes;no,,,,,,
no_semantic_dementia,,,,,yes;no,,,,,,
no_corticobasal_syndrome,,,,,yes;no,,,,,,
no_psp,,,,,yes;no,,,,,,
no_pnfa,,,,,yes;no,,,,,,
no_cjd,,,,,yes;no,,,,,,
date_cdr,,,,,,%Y-%m-%d,,,,,
cdr_total,,,,,,,,,,,
cdr_sum_of_boxes,,,,,,,,,,,
mort_date,dedate,,,,,%Y-%m-%d,,,,,
live_date,de200315,,,,,%Y-%m-%d,,,,,
mort,deceas,,,1.0;0.0,true;false,,,,,,
date_vitals,m_dat,ghypy;_dat,,,,%Y-%m-%d,,,,,
sbp,mvar800,marmss0,,,,,,,,,
dbp,mvar801,,,,,,,,,,
bmi,,,,,,,,,,,
weight,mweight,,,,,,,,,,
height,mlength,,,,,,,,,,
waist,,,,,,,,,,,
date_comorbidities,gdiabey,,,,,%Y-%m-%d,,,,,
hypertension,ghyp,,,1.0;0.0,yes;no,,,,,,
hypercholesterolemia,,,,,yes;no,,,,,,
dm_1,,,,,yes;no,,,,,,
dm_2,_DM,,,1.0;0.0,yes;no,,,,,,
dm,_DM,,,1.0;0.0,yes;_,,,,,,
myocardial_infarction,_mi,,,1.0;0.0,yes;no,,,,,,
cardiovascular_disease,,,,,yes;no,,,,,,
heart_failure,gchf,,,1.0;0.0,yes;no,,,,,,
stroke,gcva,,,1.0;0.0,yes;no,,,,,,
no_dm_1,,,,,yes;no,,,,,,
no_dm_2,_DM,,,1.0;0.0,yes;no,,,,,,
